CSNA3,2021-05-03,0.652949
BRSR6,2012-06-05,0.160549
RENT3,2016-04-01,0.170174
CYRE3,2021-04-26,1.08727
LCAM3,2019-06-26,0.811107
BRSR6,2011-09-02,0.142543
BRKM5,2015-04-10,0.60625
PCAR3,2013-10-28,0.118182
TAEE4,2019-11-21,0.180497
RENT3,2019-06-25,0.104982
MOVI3,2021-01-06,0.147814
CMIG4,2010-12-17,1.2549
ENGI11,2012-03-22,0.180004
ENGI11,2015-05-04,0.533383
EMBR3,2011-09-26,0.09
PCAR3,2018-04-02,0.321878
ABEV3,2012-06-22,0.21398
BRDT3,2021-04-16,0.95037
UGPA3,2013-02-28,0.66
EGIE3,2018-04-24,0.975509
FLRY3,2020-01-03,0.112479
LCAM3,2017-09-27,0.201258
JBSS3,2013-04-29,0.059513
SANB4,2019-04-08,0.140343
WEGE3,2014-07-23,0.155402
BBDC3,2013-01-03,0.0159134
BRSR6,2014-09-04,0.1656
GGBR4,2012-11-13,0.07
PETR4,2010-04-23,0.1332
BBAS3,2010-02-26,0.468197
ITUB4,2020-04-01,0.015
BBDC3,2013-07-02,0.0187224
ENGI11,2013-05-27,0.163006
GGBR4,2014-05-22,0.07
PETR4,2020-04-28,0.000449
ABEV3,2010-09-30,0.789625
MRVE3,2019-11-18,0.370142
BBDC4,2017-03-02,0.0189747
ITSA4,2016-12-23,0.274186
BBDC4,2018-10-02,0.0189733
BBDC3,2020-10-02,0.0172491
YDUQ3,2015-04-29,0.328685
LAME4,2011-01-10,0.0106836
PETR3,2011-11-14,0.2
TRPL4,2019-08-05,0.562186
TRPL4,2011-10-11,0.399876
BBDC3,2017-05-03,0.0172498
ENGI11,2017-02-23,0.285136
BBDC4,2014-06-25,0.207022
BBDC3,2014-12-23,0.587302
HGTX3,2017-09-08,0.3089
ITUB4,2016-01-04,0.0150002
LAME4,2013-01-09,0.0115725
ITUB4,2011-07-01,0.0119998
RENT3,2012-03-16,0.0729825
CYRE3,2018-12-19,0.598713
SUZB3,2019-04-18,0.4447
ITUB4,2016-06-01,0.0150002
PETR3,2012-03-20,0.1244
CIEL3,2015-09-14,0.278978
ELET3,2010-05-03,0.347981
BBSE3,2018-12-12,1.3523
HGTX3,2019-01-04,0.2478
LCAM3,2018-04-02,0.210105
EGIE3,2017-05-30,0.627575
EMBR3,2013-06-25,0.04
CRFB3,2021-04-14,0.382379
PETR4,2019-04-26,0.019494
FLRY3,2010-12-20,0.153896
YDUQ3,2019-04-29,0.510182
BRAP4,2019-05-02,0.59492
CMIG4,2014-06-30,1.30548
PETR3,2010-08-02,0.17
WEGE3,2019-12-23,0.038236
LREN3,2016-03-16,0.0631463
SANB4,2020-05-08,0.125084
BBDC4,2018-09-04,0.0189733
EGIE3,2013-08-19,1.17591
IRBR3,2020-08-17,0.10162
TRPL4,2016-06-22,0.667796
ITUB4,2021-01-26,0.05016
CPLE6,2020-12-29,3.10016
CPLE6,2012-04-27,0.7484
BRKM5,2016-10-04,1.25716
MRVE3,2019-06-07,0.371014
VIVT3,2014-10-01,0.2089
BRKM5,2014-04-10,0.606189
QUAL3,2017-12-22,0.525371
SBSP3,2010-03-01,0.15
HYPE3,2018-07-04,0.20543
SANB4,2013-09-27,0.00113589
BBDC3,2012-05-03,0.0159134
CPLE6,2013-11-27,0.69111
BRSR6,2019-05-02,0.03378
CPFE3,2021-05-03,1.50183
LAME4,2012-03-12,0.07073
BBDC4,2016-10-03,0.628236
B3SA3,2015-04-16,0.309492
EZTC3,2010-04-30,0.269345
TAEE4,2021-05-19,0.451454
BRSR6,2013-11-25,0.152083
RADL3,2013-09-24,0.016645
ITSA4,2013-08-07,0.0700923
BBDC4,2013-01-03,0.0175946
B3SA3,2020-01-02,1.06153
FLRY3,2016-12-13,2.10842
ENBR3,2018-04-10,0.485702
SULA4,2019-01-02,0.137668
LCAM3,2016-06-28,0.267597
BBAS3,2013-06-12,0.281982
SAPR4,2011-01-03,0.023751
ITUB4,2016-10-03,0.0150002
WEGE3,2016-03-23,0.0552942
BRSR6,2020-12-30,0.048902
PCAR3,2019-03-29,0.679223
TOTS3,2014-12-23,0.120303
ABEV3,2013-09-16,0.64994
CYRE3,2019-12-11,1.04051
BRAP4,2015-11-03,0.408539
TIMS3,2020-12-21,0.240868
CIEL3,2012-03-16,1.22276
TAEE4,2019-05-20,0.093612
PCAR3,2014-04-17,0.535395
ITUB4,2014-09-01,0.0149992
GGBR4,2012-05-14,0.06
ITSA4,2013-09-02,0.0148079
WEGE3,2011-07-22,0.0969992
B3SA3,2011-06-22,0.153387
EQTL3,2010-04-30,1.99112
SANB4,2011-09-23,0.00100704
HAPV3,2019-07-03,0.15536
LCAM3,2015-01-15,0.141327
USIM5,2012-03-20,0.086646
ITSA4,2015-09-01,0.0149012
ENGI11,2013-01-31,0.46351
BRKM5,2016-04-07,1.25672
BBAS3,2019-03-12,0.156124
TOTS3,2016-12-22,0.248172
RADL3,2021-06-24,0.0303
FLRY3,2014-04-29,0.639824
RENT3,2013-01-02,0.0798345
ITUB4,2020-11-03,0.015
BBDC4,2015-07-02,0.0189744
ENBR3,2016-12-29,0.544471
TRPL4,2012-01-17,0.416724
QUAL3,2018-06-07,0.363017
VIVT3,2014-11-03,0.25535
ENBR3,2013-12-19,0.060519
BBDC4,2010-02-02,0.0144823
VIVT3,2015-08-03,0.122735
HYPE3,2020-12-29,0.29285
ITUB4,2014-08-14,0.32556
JBSS3,2016-05-02,0.405459
SULA4,2020-02-27,0.121693
MULT3,2018-09-27,0.13459
GGBR4,2014-11-18,0.05
HGTX3,2011-09-26,0.21
BBDC3,2015-02-10,0.142427
B3SA3,2020-03-26,0.954198
ITUB4,2011-04-01,0.0119998
LREN3,2019-04-18,0.279605
BRDT3,2020-07-29,0.0428
ITSA4,2020-12-11,0.10165
FLRY3,2017-08-02,0.187238
BEEF3,2012-03-07,0.197204
HAPV3,2021-01-04,0.002617
EMBR3,2011-06-21,0.1
ITUB4,2011-05-02,0.0119998
MRVE3,2018-12-14,0.33
CVCB3,2016-04-27,0.67077
PETR3,2018-12-26,0.051183
CSAN3,2019-05-03,3.99909
ITUB4,2020-02-21,0.4832
JHSF3,2012-03-27,0.046663
BBAS3,2018-06-12,0.077203
VIVT3,2017-03-02,0.099965
BBAS3,2014-09-12,0.336522
ITUB4,2017-11-01,0.015
SUZB3,2018-04-27,0.192228
ITSA4,2011-03-30,0.109103
TIMS3,2018-05-14,0.09504
EMBR3,2013-12-17,0.09
BBDC3,2010-12-02,0.013143
CCRO3,2020-04-13,0.297029
ALUP3,2017-04-26,0.170828
JHSF3,2013-05-02,0.115963
RENT3,2014-07-02,0.072001
BBDC4,2018-12-04,0.0189733
ITUB4,2012-07-02,0.0149997
RADL3,2019-03-27,0.172925
ENGI11,2014-02-28,0.408761
LAME4,2015-03-16,0.0508896
SUZB3,2015-05-04,0.12922
CIEL3,2017-09-18,0.369225
ITSA4,2014-09-01,0.0148673
VIVT3,2017-04-27,1.06296
EMBR3,2018-09-25,0.01
ITSA4,2011-03-10,0.0391869
VIVT3,2012-04-12,0.732386
B3SA3,2014-08-12,0.32814
B3SA3,2017-05-23,0.206622
CSNA3,2019-09-24,0.299003
CPFE3,2011-08-18,0.73455
SBSP3,2016-04-06,0.2193
BBDC3,2015-07-02,0.0171616
WEGE3,2020-12-21,0.036882
BRDT3,2020-05-04,0.0428
